row,binary_acc_point,binary_acc_lo95,binary_acc_hi95
"Single-frame [0,0,0]",0.9102527006172839,0.8512622974537037,0.9627580054012346
"Short [-3,-1.5,0]",0.9301938657407407,0.8821698977623457,0.9674961419753086
"Standard [-6,-3,0]",0.9338589891975309,0.8836558400848765,0.9740565923996913
"Long [-12,-6,0]",0.921899112654321,0.8698573736496914,0.9643150800540123
