row,accuracy_point,accuracy_lo95,accuracy_hi95,f1_macro_point,f1_macro_lo95,f1_macro_hi95,mae_point,mae_lo95,mae_hi95,r2_point,r2_lo95,r2_hi95
SF binary cls-only,0.8922405478395061,0.8306236738040124,0.94848934220679,0.8577503948791017,0.7406708608776541,0.9499728711709113,,,,,,
SF binary multi-task,0.9067322530864198,0.851001277970679,0.9561668113425925,0.8758900242689179,0.7660342267665603,0.9522498023035734,1.4868065063248066,1.2645630936333974,1.7519347293900482,0.9772700228924686,0.9695342031970974,0.9833914378112495
SF 4cls cls-only,0.5472125771604939,0.37496383101851855,0.7190315152391975,0.5455684287093603,0.371620218718112,0.7014463930992917,,,,,,
SF 4cls multi-task,0.6310281635802469,0.4751778308256173,0.7704083478009258,0.6324714301907208,0.4588679923096008,0.7591608847862086,1.6735763497013574,1.4070859185065856,2.0282800904414384,0.9708510600380803,0.9577581224838487,0.9801629384602507
Temporal binary cls-only,0.9412615740740741,0.8989360291280863,0.9790256076388888,0.9234006701661308,0.8219803985242341,0.9771134536678598,,,,,,
Temporal binary multi-task,0.9322434413580247,0.8870400511188272,0.9683340567129629,0.9115543279327554,0.8070923003560255,0.9641659130165142,1.327358659186162,1.1395064534610648,1.5066922535567362,0.9815290817153116,0.9757160856049929,0.9866593413625184
Temporal 4cls cls-only,0.6728153935185185,0.5060203269675926,0.8244719328703703,0.6690610172254717,0.48732880834759484,0.7977471160359756,,,,,,
Temporal 4cls multi-task,0.7055603780864198,0.5552107445987654,0.8379171489197531,0.7022526666894832,0.521736708533907,0.816347522750925,1.32242772245665,1.141864424980452,1.524287547666658,0.9813698808596744,0.9748265576780805,0.9866145748099616
