row,binary_acc_point,binary_acc_lo95,binary_acc_hi95
SF 4cls cls-only,0.8804735725308642,0.8076382860725309,0.9390106577932098
SF 4cls multi-task,0.9102527006172839,0.8506673177083333,0.9655086564429012
Temporal 4cls cls-only,0.9383680555555556,0.8917842158564815,0.9751163435570988
Temporal 4cls multi-task,0.9338589891975309,0.8876223717206789,0.9741626880787037
