MOI,Model,Hour,auroc,auprc,accuracy,sensitivity,specificity,n_moi,n_mock
MOI 1,Temporal,19.5,0.9964122751867093,0.9969638120687314,0.9922839506172839,0.9891975308641975,0.9953703703703703,648,648
MOI 1,Temporal,22.5,0.9968445168419447,0.9978817105225309,0.996141975308642,0.9938271604938271,0.9984567901234568,648,648
MOI 1,Temporal,25.5,1.0,1.0,1.0,1.0,1.0,648,648
MOI 1,Temporal,28.5,1.0,1.0,1.0,1.0,1.0,648,648
MOI 1,Temporal,31.5,1.0,1.0,1.0,1.0,1.0,648,648
MOI 1,Temporal,34.5,1.0,1.0,0.9992283950617284,1.0,0.9984567901234568,648,648
MOI 1,Temporal,37.5,1.0,1.0,1.0,1.0,1.0,648,648
MOI 1,Temporal,40.5,1.0,1.0,1.0,1.0,1.0,648,648
MOI 1,Temporal,43.5,1.0,1.0,1.0,1.0,1.0,648,648
MOI 1,Temporal,46.5,0.99309008725804,0.9910301394475098,0.9490740740740741,1.0,0.8981481481481481,648,648
MOI 1,Single-frame,1.5,0.9068406111873191,0.884988573613986,0.7384259259259259,0.9429012345679012,0.5339506172839507,648,648
MOI 1,Single-frame,4.5,0.9723270080780368,0.939568446666464,0.8040123456790124,0.9938271604938271,0.6141975308641975,648,648
MOI 1,Single-frame,7.5,0.9903084990855052,0.9575342995467511,0.8804012345679012,1.0,0.7608024691358025,648,648
MOI 1,Single-frame,10.5,0.9907431222374637,0.9578542834169415,0.9436728395061729,1.0,0.8873456790123457,648,648
MOI 1,Single-frame,13.5,0.9907502667276329,0.9575294920301217,0.9760802469135802,1.0,0.9521604938271605,648,648
MOI 1,Single-frame,16.5,0.9953465554031398,0.9757950213210651,0.9768518518518519,1.0,0.9537037037037037,648,648
MOI 1,Single-frame,19.5,0.999997618503277,0.9999976221727634,0.9768518518518519,1.0,0.9537037037037037,648,648
MOI 1,Single-frame,22.5,0.9999785665294924,0.9999784664938602,0.9776234567901234,1.0,0.9552469135802469,648,648
MOI 1,Single-frame,25.5,0.9999809480262154,0.9999808739975679,0.9938271604938271,1.0,0.9876543209876543,648,648
MOI 1,Single-frame,28.5,1.0,1.0,0.9976851851851852,1.0,0.9953703703703703,648,648
MOI 1,Single-frame,31.5,1.0,1.0,0.9992283950617284,1.0,0.9984567901234568,648,648
MOI 1,Single-frame,34.5,0.9999999999999999,1.0,1.0,1.0,1.0,648,648
MOI 1,Single-frame,37.5,1.0,1.0,1.0,1.0,1.0,648,648
MOI 1,Single-frame,40.5,0.9971707818930041,0.9948646125116714,0.9490740740740741,1.0,0.8981481481481481,648,648
MOI 1,Single-frame,43.5,0.7637602880658436,0.7335364084711344,0.6111111111111112,1.0,0.2222222222222222,648,648
MOI 1,Single-frame,46.5,0.5044581618655692,0.5022394487510767,0.5,1.0,0.0,648,648
MOI 0.1,Temporal,1.5,0.7378841354214297,0.740350296999267,0.6319444444444444,0.5462962962962963,0.7175925925925926,648,648
MOI 0.1,Temporal,4.5,0.6985691967687853,0.7055967890466062,0.6157407407407407,0.42746913580246915,0.8040123456790124,648,648
MOI 0.1,Temporal,7.5,0.7476137402834934,0.7396522507851361,0.6466049382716049,0.37037037037037035,0.9228395061728395,648,648
MOI 0.1,Temporal,10.5,0.8501550354366711,0.835114986318297,0.7152777777777778,0.4691358024691358,0.9614197530864198,648,648
MOI 0.1,Temporal,13.5,0.9473713039170858,0.9214178772172883,0.8580246913580247,0.7361111111111112,0.9799382716049383,648,648
MOI 0.1,Temporal,16.5,0.9801180746075293,0.9589509686124408,0.9606481481481481,0.933641975308642,0.9876543209876543,648,648
MOI 0.1,Temporal,19.5,0.9927411979881116,0.9949217642136963,0.9915123456790124,0.9876543209876543,0.9953703703703703,648,648
MOI 0.1,Temporal,22.5,1.0,1.0,0.9992283950617284,1.0,0.9984567901234568,648,648
MOI 0.1,Temporal,25.5,0.9990485920591373,0.9992587304534188,0.9976851851851852,0.9953703703703703,1.0,648,648
MOI 0.1,Temporal,28.5,0.9999095031245238,0.9999115884516867,0.996141975308642,0.9922839506172839,1.0,648,648
MOI 0.1,Temporal,31.5,0.9999857110196616,0.9999858021948808,0.9984567901234568,0.9969135802469136,1.0,648,648
MOI 0.1,Temporal,34.5,1.0,1.0,0.9992283950617284,1.0,0.9984567901234568,648,648
MOI 0.1,Temporal,37.5,1.0,1.0,1.0,1.0,1.0,648,648
MOI 0.1,Temporal,40.5,1.0,1.0,1.0,1.0,1.0,648,648
MOI 0.1,Temporal,43.5,1.0,1.0,1.0,1.0,1.0,648,648
MOI 0.1,Temporal,46.5,0.9969397767108673,0.9948353678407975,0.9490740740740741,1.0,0.8981481481481481,648,648
MOI 0.1,Single-frame,1.5,0.6752221936442616,0.6823458976897738,0.5524691358024691,0.5709876543209876,0.5339506172839507,648,648
MOI 0.1,Single-frame,4.5,0.696024567520195,0.7024431775088067,0.5748456790123457,0.5354938271604939,0.6141975308641975,648,648
MOI 0.1,Single-frame,7.5,0.7133868693796677,0.7243712682958428,0.6126543209876543,0.4645061728395062,0.7608024691358025,648,648
MOI 0.1,Single-frame,10.5,0.8302457228318854,0.8239943530357428,0.7330246913580247,0.5787037037037037,0.8873456790123457,648,648
MOI 0.1,Single-frame,13.5,0.9455030197378449,0.9222667088814612,0.8912037037037037,0.8302469135802469,0.9521604938271605,648,648
MOI 0.1,Single-frame,16.5,0.986755305974699,0.9694722104284109,0.9629629629629629,0.9722222222222222,0.9537037037037037,648,648
MOI 0.1,Single-frame,19.5,0.999997618503277,0.9999976221727634,0.9768518518518519,1.0,0.9537037037037037,648,648
MOI 0.1,Single-frame,22.5,0.9999904740131077,0.9999904849876426,0.9776234567901234,1.0,0.9552469135802469,648,648
MOI 0.1,Single-frame,25.5,0.9996308680079257,0.9996489477455005,0.9907407407407407,0.9938271604938271,0.9876543209876543,648,648
MOI 0.1,Single-frame,28.5,0.9996784979423868,0.9996892829597779,0.9930555555555556,0.9907407407407407,0.9953703703703703,648,648
MOI 0.1,Single-frame,31.5,0.9999380810852003,0.999938376199066,0.9945987654320988,0.9907407407407407,0.9984567901234568,648,648
MOI 0.1,Single-frame,34.5,0.9999999999999999,1.0,0.9953703703703703,0.9907407407407407,1.0,648,648
MOI 0.1,Single-frame,37.5,1.0,1.0,0.9976851851851852,0.9953703703703703,1.0,648,648
MOI 0.1,Single-frame,40.5,0.9971707818930041,0.9948646125116714,0.9490740740740741,1.0,0.8981481481481481,648,648
MOI 0.1,Single-frame,43.5,0.7160350937357111,0.6797053798794443,0.6111111111111112,1.0,0.2222222222222222,648,648
MOI 0.1,Single-frame,46.5,0.5136316872427984,0.5077519379844961,0.5,1.0,0.0,648,648
